year,month,All,RiceInflation,Contri1
1995,January,6.1,5.4,0.47892202
1995,February,5.6,5.1,0.452315241
1995,March,6,5.1,0.452315241
1995,April,6,5.6,0.496659872
1995,May,6.2,7,0.62082484
1995,June,6.5,8.3,0.736120882
1995,July,6.3,10.3,0.913499408
1995,August,6.8,16.6,1.472241764
1995,September,8,26.8,2.376872246
1995,October,8.2,25.3,2.243838351
1995,November,8.4,23.6,2.093066604
1995,December,8.2,22.5,1.995508415
1996,January,9.5,29.3,2.598595403
1996,February,9.3,31,2.74936715
1996,March,9.5,30.4,2.696153592
1996,April,9.4,29.6,2.625202182
1996,May,9.2,27.8,2.465561509
1996,June,8.9,25.6,2.27044513
1996,July,8.7,22.1,1.96003271
1996,August,8.2,14.1,1.250518607
1996,September,6.7,4.4,0.390232757
1996,October,6.7,4.9,0.434577388
1996,November,6.6,5.1,0.452315241
1996,December,7.4,6.3,0.558742356
1997,January,5.4,-1.7,-0.150771747
1997,February,5.2,-2.8,-0.248329936
1997,March,5.5,-1.9,-0.1685096
1997,April,5.2,-1.7,-0.150771747
1997,May,5,-2,-0.177378526
1997,June,5.6,-1.9,-0.1685096
1997,July,5.6,-1.7,-0.150771747
1997,August,5.4,0.4,0.035475705
1997,September,5.7,1.1,0.097558189
1997,October,5.9,1.8,0.159640673
1997,November,6.7,2.9,0.257198862
1997,December,6.5,2.2,0.195116378
1998,January,6.6,2.5,0.221723157
1998,February,7.7,2.9,0.257198862
1998,March,8.2,2.6,0.230592084
1998,April,8.7,2.3,0.203985305
1998,May,9.8,2.6,0.230592084
1998,June,10.2,4.8,0.425708462
1998,July,10.1,5.1,0.452315241
1998,August,10.1,3.2,0.283805641
1998,September,10.2,5.5,0.487790946
1998,October,10,2.9,0.257198862
1998,November,10.6,4.8,0.425708462
1998,December,10,3.6,0.319281346
1999,January,10.7,5.6,0.496659872
1999,February,9.3,5.6,0.496659872
1999,March,7.9,5.2,0.461184167
1999,April,7.4,5.1,0.452315241
1999,May,6.1,4.4,0.390232757
1999,June,5.3,2.4,0.212854231
1999,July,5.1,2.1,0.186247452
1999,August,4.8,1.7,0.150771747
1999,September,4.9,-1.2,-0.106427115
1999,October,5.1,0.5,0.044344631
1999,November,3.9,-2.2,-0.195116378
1999,December,3.9,-0.2,-0.017737853
2000,January,5.5,-1.7,-0.150771747
2000,February,5.6,-1,-0.088689263
2000,March,5.9,-0.6,-0.053213558
2000,April,6.2,-0.1,-0.008868926
2000,May,6.5,1.1,0.097558189
2000,June,6.1,1.3,0.115296042
2000,July,6.5,2.1,0.186247452
2000,August,6.8,2.8,0.248329936
2000,September,6.5,3,0.266067789
2000,October,6.9,4,0.354757052
2000,November,7.8,5.1,0.452315241
2000,December,8.7,5.1,0.452315241
2001,January,5.8,4.4,0.390232757
2001,February,5.8,2.8,0.248329936
2001,March,5.8,2.4,0.212854231
2001,April,5.5,2.2,0.195116378
2001,May,5.5,1.4,0.124164968
2001,June,5.9,1.4,0.124164968
2001,July,6,1.1,0.097558189
2001,August,5.7,0.4,0.035475705
2001,September,5.7,0.4,0.035475705
2001,October,5.2,0.1,0.008868926
2001,November,4.2,-0.1,-0.008868926
2001,December,3.7,-0.2,-0.017737853
2002,January,3.3,0.5,0.044344631
2002,February,2.9,0.9,0.079820337
2002,March,3.3,1.2,0.106427115
2002,April,3.4,0.9,0.079820337
2002,May,3.2,1.3,0.115296042
2002,June,2.6,1.1,0.097558189
2002,July,2.5,1.8,0.159640673
2002,August,2.7,3.7,0.328150273
2002,September,2.5,5.5,0.487790946
2002,October,2.3,4.2,0.372494904
2002,November,2.1,3.7,0.328150273
2002,December,2.1,3.4,0.301543494
2003,January,1.7,2.2,0.195116378
2003,February,2.3,2.3,0.203985305
2003,March,2.1,1.9,0.1685096
2003,April,2.2,2.3,0.203985305
2003,May,2.2,2.5,0.221723157
2003,June,2.8,2.8,0.248329936
2003,July,2.3,2.4,0.212854231
2003,August,2.2,0.6,0.053213558
2003,September,2.2,-1.4,-0.124164968
2003,October,2.3,-0.7,-0.062082484
2003,November,2.4,-0.1,-0.008868926
2003,December,2.5,0.1,0.008868926
2004,January,3.1,0.6,0.053213558
2004,February,2.9,0.7,0.062082484
2004,March,3.1,1.4,0.124164968
2004,April,3.2,1.9,0.1685096
2004,May,3.6,1.6,0.141902821
2004,June,4.1,1.9,0.1685096
2004,July,5.5,2.4,0.212854231
2004,August,5.7,3.6,0.319281346
2004,September,6.2,3.7,0.328150273
2004,October,6.3,3.5,0.31041242
2004,November,6.8,3.8,0.337019199
2004,December,7.1,4,0.354757052
2005,January,7.3,4.2,0.372494904
2005,February,7.3,4.4,0.390232757
2005,March,7.1,4.5,0.399101683
2005,April,7.2,5.8,0.514397725
2005,May,7.3,7.4,0.656300545
2005,June,6.7,7.7,0.682907324
2005,July,6,7.4,0.656300545
2005,August,6.1,7.1,0.629693767
2005,September,6,7.6,0.674038398
2005,October,6.2,8.1,0.718383029
2005,November,6.2,8,0.709514103
2005,December,5.9,7.9,0.700645177
2006,January,5.9,7.8,0.691776251
2006,February,6.5,7.7,0.682907324
2006,March,6.6,7.5,0.665169472
2006,April,6.3,5.6,0.496659872
2006,May,6,4.5,0.399101683
2006,June,5.9,3.7,0.328150273
2006,July,5.5,2.9,0.257198862
2006,August,5.2,2,0.177378526
2006,September,4.9,1.3,0.115296042
2006,October,4.7,1.7,0.150771747
2006,November,4.2,2,0.177378526
2006,December,4.1,2,0.177378526
2007,January,3.8,2.3,0.203985305
2007,February,2.9,2.3,0.203985305
2007,March,2.6,2.1,0.186247452
2007,April,2.6,2,0.177378526
2007,May,2.7,1.9,0.1685096
2007,June,2.6,1.9,0.1685096
2007,July,2.9,2.1,0.186247452
2007,August,2.7,2.6,0.230592084
2007,September,2.9,5.3,0.470053093
2007,October,2.9,5.6,0.496659872
2007,November,3.1,5.7,0.505528799
2007,December,3.7,5.9,0.523266651
2008,January,4.6,6.5,0.576480209
2008,February,5.1,6.5,0.576480209
2008,March,5.9,8.8,0.780465514
2008,April,7.3,18.6,1.64962029
2008,May,8.2,23.5,2.084197678
2008,June,9.4,31.3,2.775973929
2008,July,10.2,36.4,3.22828917
2008,August,10.5,34.6,3.068648496
2008,September,10.1,28.5,2.527643993
2008,October,9.7,24.9,2.208362646
2008,November,9.1,23,2.039853047
2008,December,7.8,21.9,1.942294858
2009,January,7.1,22.1,1.96003271
2009,February,7.2,24.6,2.181755867
2009,March,6.6,22.9,2.03098412
2009,April,5.6,13.6,1.206173975
2009,May,4.3,9.1,0.807072292
2009,June,3.2,2.6,0.230592084
2009,July,2.2,-2,-0.177378526
2009,August,1.7,-1.6,-0.141902821
2009,September,2.3,0.4,0.035475705
2009,October,2.9,2.6,0.230592084
2009,November,3.5,4.4,0.390232757
2009,December,4.4,5.4,0.47892202
2010,January,3.9,4.8,0.425708462
2010,February,3.9,3.1,0.274936715
2010,March,3.9,3,0.266067789
2010,April,4,1.7,0.150771747
2010,May,3.9,1.1,0.097558189
2010,June,3.6,1,0.088689263
2010,July,3.7,2.3,0.203985305
2010,August,4.1,3.1,0.274936715
2010,September,3.8,4.1,0.363625978
2010,October,3.2,5.1,0.452315241
2010,November,3.7,5.4,0.47892202
2010,December,3.6,5.2,0.461184167
2011,January,4,5.5,0.487790946
2011,February,4.7,5.3,0.470053093
2011,March,4.9,4.8,0.425708462
2011,April,4.7,5.5,0.487790946
2011,May,4.9,5.8,0.514397725
2011,June,5.2,6,0.532135577
2011,July,4.9,4.7,0.416839536
2011,August,4.6,4,0.354757052
2011,September,4.7,3.3,0.292674568
2011,October,5.2,2.7,0.23946101
2011,November,4.7,1.6,0.141902821
2011,December,4.2,1.3,0.115296042
2012,January,4.1,0.4,0.035475705
2012,February,3,0.1,0.008868926
2012,March,2.9,0.3,0.026606779
2012,April,3.2,0,0
2012,May,2.9,0.2,0.017737853
2012,June,2.7,0.2,0.017737853
2012,July,3.1,0.8,0.07095141
2012,August,3.7,1.4,0.124164968
2012,September,3.6,1.6,0.141902821
2012,October,3.2,1.3,0.115296042
2012,November,2.8,1.9,0.1685096
2012,December,2.9,2.1,0.186247452
2013,January,2.8,1.8,0.159640673
2013,February,2.9,2,0.177378526
2013,March,2.7,1.5,0.133033894
2013,April,2.2,1.3,0.115296042
2013,May,2.3,1.1,0.097558189
2013,June,2.5,1.2,0.106427115
2013,July,2.4,1.8,0.159640673
2013,August,1.8,3,0.266067789
2013,September,2.3,6.3,0.558742356
2013,October,2.4,7,0.62082484
2013,November,2.9,7.3,0.647431619
2013,December,3.8,8.4,0.744989808
2014,January,3.7,9.4,0.833679071
2014,February,3.6,9.8,0.869154776
2014,March,3.5,11.2,0.993319744
2014,April,3.6,11.7,1.037664376
2014,May,4,12.5,1.108615786
2014,June,3.8,13.3,1.179567197
2014,July,4.2,14.3,1.268256459
2014,August,4.2,13.3,1.179567197
2014,September,3.9,10.1,0.895761555
2014,October,3.7,9.7,0.86028585
2014,November,3,9.2,0.815941219
2014,December,1.9,7.9,0.700645177
2015,January,1.5,6.9,0.611955914
2015,February,1.5,5.4,0.47892202
2015,March,1.5,3.4,0.301543494
2015,April,1.4,2.6,0.230592084
2015,May,0.9,1.5,0.133033894
2015,June,0.6,0.3,0.026606779
2015,July,0.2,-1.5,-0.133033894
2015,August,0,-2.5,-0.221723157
2015,September,-0.4,-2.8,-0.248329936
2015,October,-0.2,-2.8,-0.248329936
2015,November,0.3,-2.7,-0.23946101
2015,December,0.7,-2.5,-0.221723157
2016,January,0.7,-2.4,-0.212854231
2016,February,0.5,-1.8,-0.159640673
2016,March,0.6,-1.4,-0.124164968
2016,April,0.7,-1,-0.088689263
2016,May,0.9,-0.9,-0.079820337
2016,June,1.3,-0.7,-0.062082484
2016,July,1.3,0,0
2016,August,1.3,0.4,0.035475705
2016,September,1.7,0.5,0.044344631
2016,October,1.8,0.6,0.053213558
2016,November,2.1,0.6,0.053213558
2016,December,2.2,0.5,0.044344631
2017,January,2.5,0.9,0.079820337
2017,February,3.1,0.8,0.07095141
2017,March,3.1,1,0.088689263
2017,April,3.2,1,0.088689263
2017,May,2.9,1.2,0.106427115
2017,June,2.5,1.3,0.115296042
2017,July,2.4,1,0.088689263
2017,August,2.6,0.9,0.079820337
2017,September,3,0.7,0.062082484
2017,October,3.1,0.6,0.053213558
2017,November,3,0.8,0.07095141
2017,December,2.9,1.2,0.106427115
2018,January,3.5,0.1,0.008868926
2018,February,3.7,1,0.088689263
2018,March,4.3,2.5,0.221723157
2018,April,4.3,3.3,0.292674568
2018,May,4.6,3.9,0.345888125
2018,June,5,4.4,0.390232757
2018,July,5.8,5.1,0.452315241
2018,August,6.6,7.5,0.665169472
2018,September,6.9,12,1.064271155
2018,October,6.9,12.6,1.117484713
2018,November,6.1,9,0.798203366
2018,December,5.2,6.4,0.567611283
2019,January,4.4,6.2,0.54987343
2019,February,3.8,4.5,0.399101683
2019,March,3.4,2.2,0.195116378
2019,April,3.2,0.5,0.044344631
2019,May,3.2,-1.1,-0.097558189
2019,June,2.7,-2.4,-0.212854231
2019,July,2.2,-4.2,-0.372494904
2019,August,1.4,-7.1,-0.629693767
2019,September,0.5,-11.8,-1.046533302
2019,October,0.6,-13.3,-1.179567197
2019,November,1.2,-11.2,-0.993319744
2019,December,2.4,-9.6,-0.851416924
2020,January,3,-9.3,-0.824810145
2020,February,2.5,-9.1,-0.807072292
2020,March,2.2,-8.4,-0.744989808
2020,April,1.8,-5.7,-0.505528799
2020,May,1.6,-3.9,-0.345888125
2020,June,2.3,-2.8,-0.248329936
2020,July,2.4,-1.6,-0.141902821
2020,August,2.2,-1.3,-0.115296042
2020,September,2.2,-0.7,-0.062082484
2020,October,2.3,-0.5,-0.044344631
2020,November,3,-0.3,-0.026606779
2020,December,3.3,0.1,0.008868926
2021,January,3.7,0.3,0.026606779
2021,February,4.2,0.7,0.062082484
2021,March,4.1,1,0.088689263
2021,April,4.1,-0.8,-0.07095141
2021,May,4.1,-1.4,-0.124164968
2021,June,3.7,-2.1,-0.186247452
2021,July,3.7,-2.2,-0.195116378
2021,August,4.4,-1.5,-0.133033894
2021,September,4.2,-1.3,-0.115296042
2021,October,4,-0.4,-0.035475705
2021,November,3.7,0,0
2021,December,3.1,-0.1,-0.008868926
2022,January,3,1,0.088689263
2022,February,3,1.6,0.141902821
2022,March,4,1.6,0.141902821
2022,April,4.9,1.6,0.141902821
2022,May,5.4,1.5,0.133033894
2022,June,6.1,2,0.177378526
2022,July,6.4,2.1,0.186247452
2022,August,6.3,2.2,0.195116378
2022,September,6.9,2.4,0.212854231
2022,October,7.7,2.5,0.221723157
2022,November,8,3.1,0.274936715
2022,December,8.1,3.4,0.301543494
2023,January,8.7,2.7,0.23946101
2023,February,8.6,2.2,0.195116378
2023,March,7.6,2.6,0.230592084
2023,April,6.6,2.9,0.257198862
2023,May,6.1,3.4,0.301543494
2023,June,5.4,3.6,0.319281346
2023,July,4.7,4.2,0.372494904
2023,August,5.3,8.7,0.771596587
2023,September,6.1,17.9,1.587537806
2023,October,4.9,13.2,1.17069827
2023,November,4.1,15.8,1.401290354
2023,December,3.9,19.6,1.738309553
2024,January,2.8,22.6,2.004377342
2024,February,3.4,23.7,2.101935531
2024,March,3.7,24.4,2.164018015
2024,April,3.8,23.9,2.119673383
2024,May,3.9,23,2.039853047
2024,June,3.7,22.5,1.995508415
2024,July,4.4,20.9,1.853605595
2024,August,3.3,14.7,1.303732165
2024,September,1.9,5.7,0.505528799
2024,October,2.3,9.6,0.851416924
2024,November,2.5,5.1,0.452315241
2024,December,2.9,0.8,0.07095141
